 obs,T9,T12,T15,Ne9,Ne12,Ne15,Vx9,Vx12,Vx15,maxO3v,vent,pluie,maxO3
628,"20,1","22,4","22,8",7,6,7,"-5,6382","-3,8302","-4,5963",83.0,Ouest,Pluie,57
629,"19,6","25,1","27,2",3,4,4,"-1,9284","-2,5712","-4,3301",57.0,Sud,Sec,81
630,"19,5","23,4","23,7",5,5,4,"-1,5321","-3,0642","-0,8682",81.0,Ouest,Sec,67
701,"18,8","22,7","24,9",5,2,1,"0,684",0,"1,3681",67.0,Nord,Sec,70
702,"24,1","28,4","30,1",0,0,1,"2,8191","3,9392","3,4641",70.0,Est,Sec,106
703,"26,6","30,1","31,9",0,1,4,"1,8794",2,"1,3681",106.0,Sud,Sec,139
704,"19,5","18,8","17,8",8,8,8,"0,6946","-0,866","-1,0261",139.0,Ouest,Sec,79
705,"16,8","18,2",22,8,8,6,0,0,"1,2856",79.0,Sud,Pluie,93
706,"20,8","23,7",25,2,3,4,0,"1,7101","-2,7362",93.0,Nord,Sec,97
707,"17,5","18,2","22,7",8,8,5,"-3,7588","-3,9392","-4,6985",97.0,Ouest,Pluie,113
708,"18,1","21,2","23,9",7,6,4,"-2,5981","-3,9392","-3,7588",113.0,Ouest,Pluie,72
709,"19,2",22,"25,2",4,7,4,"-1,9696","-3,0642",-4,72.0,Ouest,Sec,88
710,"19,4","20,7","22,5",7,8,7,"-6,5778","-5,6382",-9,88.0,Ouest,Sec,77
711,"19,2",21,"22,4",6,4,6,"-7,8785","-6,8937","-6,8937",77.0,Ouest,Sec,71
712,"13,8","17,3","18,5",8,8,6,"1,5","-3,8302","-2,0521",71.0,Ouest,Pluie,56
713,"14,3","14,5","15,2",8,8,8,"0,684",4,"2,9544",56.0,Est,Pluie,45
714,"15,6","18,6","20,3",5,7,5,"-3,2139","-3,7588",-4,45.0,Ouest,Pluie,67
715,"16,9","19,1","19,5",5,5,6,"-2,2981","-3,7588",0,67.0,Ouest,Pluie,67
716,"17,4","20,4","21,4",3,4,6,0,"0,3473","-2,5981",67.0,Sud,Sec,84
717,"15,1","20,5","20,6",8,6,6,2,"-5,3623","-6,1284",84.0,Ouest,Pluie,63
718,"15,1","15,6","15,9",8,8,8,"-4,5963","-3,8302","-4,3301",63.0,Ouest,Pluie,69
719,"16,7","19,1","19,3",7,6,4,"-2,0521","-4,4995","-2,7362",69.0,Nord,Sec,92
720,"16,9","20,3","20,7",6,6,5,"-2,8191","-3,4641",-3,92.0,Ouest,Pluie,88
721,18,"21,6","23,3",8,6,5,-3,"-3,5","-3,2139",88.0,Sud,Sec,66
722,"18,6","21,9","23,6",4,7,6,"0,866","-1,9696","-1,0261",66.0,Ouest,Sec,72
723,"18,8","22,5","23,9",6,3,2,"0,5209",-1,-2,72.0,Nord,Sec,81
724,19,"22,5","24,1",2,4,6,0,"-1,0261","0,5209",81.0,Nord,Sec,83
725,"19,9","26,9",29,3,4,3,1,"-0,9397","-0,6428",83.0,Ouest,Sec,149
726,"23,8","27,7","29,4",1,1,4,"0,9397","1,5",0,149.0,Nord,Sec,153
727,24,"28,3","26,5",2,2,7,"-0,342","1,2856",-2,153.0,Nord,Sec,159
728,"23,3","27,6","28,8",4,6,3,"0,866","-1,5321","-0,1736",158.5,Ouest,Sec,149
729,25,"29,6","31,1",0,3,5,"1,5321","-0,684","2,8191",149.0,Sud,Sec,160
730,"24,9","30,5","32,2",0,1,4,"-0,5","-1,8794","-1,2856",158.5,Ouest,Sec,156
731,"20,5","26,3","27,8",1,0,2,"-1,3681","-0,6946",0,156.0,Nord,Sec,84
801,"25,3","29,5","31,2",1,4,4,3,"3,7588",5,84.0,Est,Sec,126
802,"21,3","23,8","22,1",7,7,8,0,"-2,3941","-1,3892",126.0,Sud,Pluie,116
803,20,"18,2","23,6",5,7,6,"-3,4641","-2,5981","-3,7588",116.0,Ouest,Pluie,77
804,"18,7","20,6","20,3",6,7,7,-5,"-4,924","-5,6382",77.0,Ouest,Pluie,63
805,"18,6","18,7","17,8",8,8,8,"-4,6985","-2,5","-0,8682",63.0,Sud,Pluie,54
806,"19,2",23,"22,7",8,7,7,"-3,8302","-4,924","-5,6382",54.0,Ouest,Sec,65
807,"19,9","21,6","20,4",7,7,8,-3,"-4,5963","-5,1962",65.0,Ouest,Pluie,72
808,"18,7","21,4","21,7",7,7,7,"-5,6382","-6,0622","-6,8937",72.0,Ouest,Pluie,60
809,"18,4","17,1","20,5",3,6,3,"-5,9088","-3,2139","-4,4995",60.0,Nord,Pluie,70
810,"17,1",20,"20,8",4,5,4,"-1,9284","-1,0261","0,5209",70.0,Nord,Sec,77
811,"17,8","22,8","24,3",1,1,0,0,"-1,5321",-1,77.0,Ouest,Pluie,98
812,"20,9","25,2","26,7",1,5,2,"-1,0261",-3,"-2,2981",98.0,Ouest,Sec,111
813,"18,8","20,5",26,8,7,1,"-0,866",0,0,111.0,Nord,Sec,75
814,"23,5","29,8","31,7",1,3,5,"1,8794","1,3681","0,6946",75.0,Sud,Sec,116
815,"20,8","23,7","26,6",8,5,4,"-1,0261","-1,7101","-3,2139",116.0,Sud,Sec,109
819,"18,8","21,1","18,9",7,7,8,"-5,3623","-5,3623","-2,5",86.0,Ouest,Pluie,67
820,"17,8","21,3",24,7,5,5,"-3,0642","-2,2981","-3,9392",67.0,Ouest,Pluie,76
821,"20,6","24,8",27,1,1,2,"1,3681","0,8682","-2,2981",76.0,Sud,Sec,113
822,"21,6","26,9","28,6",6,6,4,"1,5321","1,9284","1,9284",113.0,Sud,Pluie,117
823,"22,7","28,4","30,1",5,3,3,"0,1736","-1,9696","-1,9284",117.0,Ouest,Sec,131
824,"19,8","27,2","30,8",4,0,1,"0,6428","-0,866","0,684",131.0,Ouest,Sec,166
825,25,"33,5","35,5",1,1,1,1,"0,6946","-1,7101",158.5,Sud,Sec,159
826,"20,1","22,9","27,6",8,8,6,"1,2856","-1,7321","-0,684",158.5,Ouest,Sec,100
827,21,"26,3","26,4",7,4,5,"3,0642","2,8191","1,3681",100.0,Est,Sec,114
828,21,"24,4","26,8",1,6,3,4,4,"3,7588",114.0,Est,Sec,112
829,"16,9","17,8","20,6",7,7,7,-2,"-0,5209","1,8794",112.0,Nord,Pluie,101
830,"17,5","18,6","18,7",7,7,7,"-3,4641",-4,"-1,7321",101.0,Ouest,Sec,76
831,"16,5","20,3","20,3",5,7,6,"-4,3301","-5,3623","-4,5",76.0,Ouest,Pluie,59
901,"17,7","20,2","21,5",5,5,3,0,"0,5209",0,59.0,Nord,Pluie,78
902,"17,3","22,7","24,6",4,5,6,"-2,9544","-2,9544",-2,78.0,Ouest,Pluie,76
903,"15,3","16,8","19,2",8,7,5,"-1,8794","-1,8794","-2,3941",76.0,Ouest,Pluie,55
904,"15,9","19,2","19,5",7,5,3,"-6,1284",0,"-1,3892",55.0,Nord,Pluie,71
905,"16,2","18,9","19,3",2,5,6,"-1,3681","-0,8682","1,7101",71.0,Nord,Pluie,66
906,"18,3","18,3",19,7,7,7,"-3,9392","-1,9284","-1,7101",66.0,Nord,Pluie,59
907,"16,9","20,8","22,5",6,5,7,"-1,5","-3,4641","-3,0642",59.0,Ouest,Pluie,68
908,"17,3","19,8","19,4",7,8,8,"-4,5963","-6,0622","-4,3301",68.0,Ouest,Sec,63
912,"14,2","22,2",22,5,5,6,"-0,866",-5,-5,62.0,Ouest,Sec,78
913,"15,8","18,7","19,1",8,7,7,"-4,5963","-6,8937","-7,5175",78.0,Ouest,Pluie,74
914,"15,2","17,9","18,6",6,5,1,"-1,0419","-1,3681","-1,0419",74.0,Nord,Pluie,71
915,"17,1","17,7","17,5",6,7,8,"-5,1962","-2,7362","-1,0419",71.0,Nord,Pluie,69
916,"15,4","17,7","16,6",4,5,5,"-3,8302",0,"1,3892",69.0,Nord,Sec,71
917,"13,7",14,"15,8",4,5,4,0,"3,2139",0,71.0,Nord,Pluie,60
918,"12,7","14,3","14,9",8,7,7,"-2,5","-3,2139","-2,5",60.0,Nord,Pluie,42
919,"14,8","16,3","15,9",7,7,7,"-4,3301","-6,0622","-5,1962",42.0,Ouest,Pluie,65
920,"15,5",18,"17,4",7,7,6,"-3,9392","-3,0642",0,65.0,Ouest,Sec,71
921,"11,3","19,4","20,2",3,3,3,"-0,1736","3,7588","3,8302",71.0,Est,Pluie,96
922,"15,2","19,7","20,3",2,2,2,4,5,"4,3301",96.0,Est,Sec,98
923,"14,7","17,6","18,2",1,4,6,"5,1962","5,1423","3,5",98.0,Nord,Sec,92
924,"13,3","17,7","17,7",7,7,6,"-0,9397","-0,766","-0,5",92.0,Ouest,Pluie,76
925,"13,3","17,7","17,8",3,5,6,0,-1,"-1,2856",76.0,Sud,Sec,84
927,"16,2","20,8","22,1",6,5,5,"-0,6946",-2,"-1,3681",71.0,Sud,Pluie,77
928,"16,9",23,"22,6",6,4,7,"1,5","0,8682","0,8682",77.0,Sud,Sec,99
929,"16,9","19,8","22,1",6,5,3,-4,"-3,7588",-4,99.0,Ouest,Pluie,83
930,"15,7","18,6","20,7",7,7,7,0,"-1,0419",-4,83.0,Sud,Sec,70
