dataset,task_type,model,metric,value,scenario,source
sonar,classification,RLT_aggressive_k1,ACC,0.8412698412698413,real_sonar,real
sonar,classification,RLT_aggressive_k2,ACC,0.7142857142857143,real_sonar,real
sonar,classification,RLT_aggressive_k5,ACC,0.7936507936507936,real_sonar,real
winequality-red,classification,RF,ACC,0.6520833333333333,real_winequality-red,real
winequality-red,classification,ET,ACC,0.6625,real_winequality-red,real
winequality-red,classification,GBC,ACC,0.63125,real_winequality-red,real
winequality-red,classification,LogRegL2,ACC,0.5895833333333333,real_winequality-red,real
winequality-red,classification,RLT_none_k1,ACC,0.625,real_winequality-red,real
winequality-red,classification,RLT_none_k2,ACC,0.5875,real_winequality-red,real
winequality-red,classification,RLT_none_k5,ACC,0.6041666666666666,real_winequality-red,real
winequality-red,classification,RLT_moderate_k1,ACC,0.61875,real_winequality-red,real
winequality-red,classification,RLT_moderate_k2,ACC,0.5958333333333333,real_winequality-red,real
winequality-red,classification,RLT_moderate_k5,ACC,0.60625,real_winequality-red,real
winequality-red,classification,RLT_aggressive_k1,ACC,0.5854166666666667,real_winequality-red,real
winequality-red,classification,RLT_aggressive_k2,ACC,0.6208333333333333,real_winequality-red,real
winequality-red,classification,RLT_aggressive_k5,ACC,0.63125,real_winequality-red,real
winequality-white,classification,RF,ACC,0.6768707482993197,real_winequality-white,real
winequality-white,classification,ET,ACC,0.6768707482993197,real_winequality-white,real
winequality-white,classification,GBC,ACC,0.5768707482993197,real_winequality-white,real
winequality-white,classification,LogRegL2,ACC,0.5360544217687074,real_winequality-white,real
winequality-white,classification,RLT_none_k1,ACC,0.5850340136054422,real_winequality-white,real
winequality-white,classification,RLT_none_k2,ACC,0.5945578231292517,real_winequality-white,real
winequality-white,classification,RLT_none_k5,ACC,0.5836734693877551,real_winequality-white,real
winequality-white,classification,RLT_moderate_k1,ACC,0.5761904761904761,real_winequality-white,real
winequality-white,classification,RLT_moderate_k2,ACC,0.5802721088435374,real_winequality-white,real
winequality-white,classification,RLT_moderate_k5,ACC,0.5870748299319728,real_winequality-white,real
winequality-white,classification,RLT_aggressive_k1,ACC,0.5448979591836735,real_winequality-white,real
winequality-white,classification,RLT_aggressive_k2,ACC,0.5421768707482993,real_winequality-white,real
winequality-white,classification,RLT_aggressive_k5,ACC,0.5625850340136055,real_winequality-white,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RF,ACC,0.8194444444444444,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,ET,ACC,0.875,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,GBC,ACC,0.8611111111111112,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,LogRegL2,ACC,0.8611111111111112,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RLT_none_k1,ACC,0.7916666666666666,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RLT_none_k2,ACC,0.7638888888888888,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RLT_none_k5,ACC,0.8194444444444444,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RLT_moderate_k1,ACC,0.7777777777777778,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RLT_moderate_k2,ACC,0.8055555555555556,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RLT_moderate_k5,ACC,0.7638888888888888,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RLT_aggressive_k1,ACC,0.8194444444444444,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RLT_aggressive_k2,ACC,0.8333333333333334,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RLT_aggressive_k5,ACC,0.7777777777777778,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ozone,classification,RF,ACC,0.7352941176470589,real_ozone,real
ozone,classification,ET,ACC,0.7647058823529411,real_ozone,real
ozone,classification,GBC,ACC,0.7058823529411765,real_ozone,real
ozone,classification,LogRegL2,ACC,0.7058823529411765,real_ozone,real
ozone,classification,RLT_none_k1,ACC,0.6176470588235294,real_ozone,real
ozone,classification,RLT_none_k2,ACC,0.6470588235294118,real_ozone,real
ozone,classification,RLT_none_k5,ACC,0.7058823529411765,real_ozone,real
ozone,classification,RLT_moderate_k1,ACC,0.7058823529411765,real_ozone,real
ozone,classification,RLT_moderate_k2,ACC,0.7058823529411765,real_ozone,real
ozone,classification,RLT_moderate_k5,ACC,0.6764705882352942,real_ozone,real
ozone,classification,RLT_aggressive_k1,ACC,0.7941176470588235,real_ozone,real
ozone,classification,RLT_aggressive_k2,ACC,0.7647058823529411,real_ozone,real
ozone,classification,RLT_aggressive_k5,ACC,0.6764705882352942,real_ozone,real
BreastCanDT,classification,RF,ACC,0.9707602339181286,real_BreastCanDT,real
BreastCanDT,classification,ET,ACC,0.9707602339181286,real_BreastCanDT,real
BreastCanDT,classification,GBC,ACC,0.9649122807017544,real_BreastCanDT,real
BreastCanDT,classification,LogRegL2,ACC,0.9766081871345029,real_BreastCanDT,real
BreastCanDT,classification,RLT_none_k1,ACC,0.9590643274853801,real_BreastCanDT,real
BreastCanDT,classification,RLT_none_k2,ACC,0.9707602339181286,real_BreastCanDT,real
BreastCanDT,classification,RLT_none_k5,ACC,0.9707602339181286,real_BreastCanDT,real
BreastCanDT,classification,RLT_moderate_k1,ACC,0.9590643274853801,real_BreastCanDT,real
BreastCanDT,classification,RLT_moderate_k2,ACC,0.9707602339181286,real_BreastCanDT,real
BreastCanDT,classification,RLT_moderate_k5,ACC,0.9766081871345029,real_BreastCanDT,real
BreastCanDT,classification,RLT_aggressive_k1,ACC,0.9649122807017544,real_BreastCanDT,real
BreastCanDT,classification,RLT_aggressive_k2,ACC,0.9590643274853801,real_BreastCanDT,real
BreastCanDT,classification,RLT_aggressive_k5,ACC,0.9824561403508771,real_BreastCanDT,real
scenario1_p200,classification,RF,ACC,0.6666666666666666,scenario1,simulated
scenario1_p200,classification,ET,ACC,0.6666666666666666,scenario1,simulated
scenario1_p200,classification,GBC,ACC,0.7333333333333333,scenario1,simulated
scenario1_p200,classification,LogRegL2,ACC,0.6333333333333333,scenario1,simulated
scenario1_p200,classification,RLT_none_k1,ACC,0.5,scenario1,simulated
scenario1_p200,classification,RLT_none_k2,ACC,0.6333333333333333,scenario1,simulated
scenario1_p200,classification,RLT_none_k5,ACC,0.36666666666666664,scenario1,simulated
scenario1_p200,classification,RLT_moderate_k1,ACC,0.36666666666666664,scenario1,simulated
scenario1_p200,classification,RLT_moderate_k2,ACC,0.43333333333333335,scenario1,simulated
scenario1_p200,classification,RLT_moderate_k5,ACC,0.5666666666666667,scenario1,simulated
scenario1_p200,classification,RLT_aggressive_k1,ACC,0.6333333333333333,scenario1,simulated
scenario1_p200,classification,RLT_aggressive_k2,ACC,0.6333333333333333,scenario1,simulated
scenario1_p200,classification,RLT_aggressive_k5,ACC,0.6666666666666666,scenario1,simulated
scenario1_p500,classification,RF,ACC,0.43333333333333335,scenario1,simulated
scenario1_p500,classification,ET,ACC,0.4,scenario1,simulated
scenario1_p500,classification,GBC,ACC,0.6333333333333333,scenario1,simulated
scenario1_p500,classification,LogRegL2,ACC,0.36666666666666664,scenario1,simulated
scenario1_p500,classification,RLT_none_k1,ACC,0.3,scenario1,simulated
scenario1_p500,classification,RLT_none_k2,ACC,0.4666666666666667,scenario1,simulated
scenario1_p500,classification,RLT_none_k5,ACC,0.4,scenario1,simulated
scenario1_p500,classification,RLT_moderate_k1,ACC,0.4666666666666667,scenario1,simulated
scenario1_p500,classification,RLT_moderate_k2,ACC,0.4666666666666667,scenario1,simulated
scenario1_p500,classification,RLT_moderate_k5,ACC,0.5,scenario1,simulated
scenario1_p500,classification,RLT_aggressive_k1,ACC,0.6,scenario1,simulated
scenario1_p500,classification,RLT_aggressive_k2,ACC,0.5,scenario1,simulated
scenario1_p500,classification,RLT_aggressive_k5,ACC,0.5666666666666667,scenario1,simulated
scenario1_p1000,classification,RF,ACC,0.5666666666666667,scenario1,simulated
scenario1_p1000,classification,ET,ACC,0.6333333333333333,scenario1,simulated
scenario1_p1000,classification,GBC,ACC,0.6333333333333333,scenario1,simulated
scenario1_p1000,classification,LogRegL2,ACC,0.4,scenario1,simulated
scenario1_p1000,classification,RLT_none_k1,ACC,0.5333333333333333,scenario1,simulated
scenario1_p1000,classification,RLT_none_k2,ACC,0.5,scenario1,simulated
scenario1_p1000,classification,RLT_none_k5,ACC,0.4,scenario1,simulated
scenario1_p1000,classification,RLT_moderate_k1,ACC,0.5,scenario1,simulated
scenario1_p1000,classification,RLT_moderate_k2,ACC,0.4666666666666667,scenario1,simulated
scenario1_p1000,classification,RLT_moderate_k5,ACC,0.4666666666666667,scenario1,simulated
scenario1_p1000,classification,RLT_aggressive_k1,ACC,0.6,scenario1,simulated
scenario1_p1000,classification,RLT_aggressive_k2,ACC,0.6,scenario1,simulated
scenario1_p1000,classification,RLT_aggressive_k5,ACC,0.6,scenario1,simulated
